mirname	KO1	KO2	KO3	WT1	WT2	WT3	C352A1	C352A2	C352A3	P351A1	P351A2	P351A3	ALA-1	ALA-2	ALA-3
hsa-mir-4710	0.0	0.0	0.0	0.0	1.7229480739382503	1.426961300413984	0.4512615775892782	2.21912629326868	1.406320307313218	0.0	0.0	0.0	0.0	1.1485312654355802	0.0
hsa-mir-4711	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-4712	0.0	0.0	2.506598963148127	0.0	0.0	1.426961300413984	0.4512615775892782	0.0	0.0	0.0	0.0	0.0	0.0	2.2970625308711603	0.0
hsa-mir-4713	0.0	0.0	0.0	0.0	0.0	0.0	0.9025231551785564	0.0	0.0	0.0	0.8102494315218237	0.9760768891595103	1.07272002032607	1.1485312654355802	0.0
hsa-mir-4714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9760768891595103	0.0	1.1485312654355802	0.0
hsa-mir-4716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21912629326868	1.406320307313218	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-4717	0.0	3.2194268400119133	0.0	1.3341385893792175	0.0	1.426961300413984	0.4512615775892782	2.21912629326868	2.812640614626436	0.0	1.6204988630436474	0.0	0.0	2.2970625308711603	1.536877014964445
hsa-mir-4720	0.0	0.0	2.506598963148127	1.3341385893792175	0.0	0.0	0.4512615775892782	0.0	1.406320307313218	0.0	0.0	0.48803844457975515	0.0	1.1485312654355802	0.7684385074822225
hsa-mir-4721	0.0	0.0	0.0	1.3341385893792175	0.0	0.0	0.4512615775892782	0.0	1.406320307313218	0.0	0.0	0.0	0.0	1.1485312654355802	0.7684385074822225
hsa-mir-4722	2.0	0.0	5.013197926296254	2.668277178758435	6.891792295753001	2.853922600827968	0.4512615775892782	0.0	1.406320307313218	5.499651009166655	2.0256235788045593	3.416269112058286	6.43632012195642	6.891187592613481	5.379069552375557
